Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
299,43.23%,39.74%,8.43%,2.93%
300,39.85%,35.59%,9.27%,4.90%
301,36.01%,25.34%,24.45%,2.58%
302,24.35%,22.76%,22.44%,13.33%
302,31.27%,24.59%,24.48%,7.79%
303,22.85%,18.08%,15.41%,13.27%
304,32.67%,30.55%,16.73%,5.70%
305,33.88%,32.05%,16.45%,6.40%
306,26.05%,25.27%,23.02%,15.51%
306,45.43%,30.02%,14.40%,3.60%
307,32.89%,29.25%,20.57%,2.68%
308,32.44%,19.76%,17.85%,11.67%
309,33.63%,29.10%,18.31%,5.33%
310,28.17%,20.78%,16.97%,16.53%
311,37.87%,28.27%,19.06%,4.17%
312,29.62%,24.21%,20.46%,9.79%
313,39.44%,30.27%,16.74%,2.30%
314,35.25%,34.27%,17.66%,4.10%
315,28.93%,22.54%,21.92%,15.76%
316,41.14%,28.92%,16.15%,4.72%
316,32.70%,30.81%,25.51%,4.95%
317,33.60%,28.76%,25.73%,2.09%
318,26.84%,26.22%,21.04%,16.05%
319,38.25%,35.39%,11.72%,2.55%
320,32.12%,29.93%,23.28%,3.19%
321,30.82%,23.91%,18.54%,14.73%
322,54.76%,30.10%,6.17%,3.92%
323,39.62%,29.78%,11.20%,8.07%
324,32.40%,30.13%,9.03%,7.14%
325,28.52%,28.08%,21.63%,6.03%
326,32.37%,25.04%,18.75%,15.51%
327,34.59%,32.69%,18.57%,3.23%
328,42.94%,37.44%,5.20%,3.59%
329,27.66%,25.36%,22.28%,5.30%
329,28.03%,27.63%,25.45%,11.40%
330,20.40%,16.70%,14.67%,14.28%
331,32.63%,27.58%,24.30%,2.74%
332,37.38%,20.67%,14.50%,11.54%
333,34.72%,33.03%,13.66%,11.91%
334,29.87%,23.80%,19.48%,14.58%
336,23.33%,18.22%,13.33%,12.33%
337,18.12%,16.14%,13.18%,9.28%
338,36.16%,27.27%,23.39%,4.55%
339,28.52%,20.51%,12.01%,10.54%
340,35.11%,32.46%,17.26%,4.19%
342,36.41%,21.75%,18.93%,8.24%
343,45.06%,42.89%,3.02%,2.74%
344,35.17%,34.02%,8.58%,5.60%
345,33.90%,28.80%,10.63%,9.20%
346,29.87%,28.15%,13.71%,8.82%
347,43.96%,35.39%,4.92%,4.18%
348,45.40%,35.28%,5.05%,4.05%
349,35.46%,33.60%,15.04%,6.56%
350,37.44%,36.88%,11.13%,5.19%
